,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp,price,1h%,24h%,7d%,30d%,60d%,90d%
5,3408,USD Coin,USDC,usd-coin,14208,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25772021490.820164,25772021490.820164,False,,6,,,,2023-09-24T00:35:00.000Z,1.0001466358720528,1755202397.8825867,-31.1039,0.00856764,0.00438279,-0.01169497,0.02463412,0.00782565,-0.00078739,25775800593.666035,2.4433,25775800593.67,,2023-09-24T00:35:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-09-24 03:36:49.368464,1.0001466358720528,0.00856764,0.00438279,-0.01169497,0.02463412,0.00782565,-0.00078739
6,74,Dogecoin,DOGE,dogecoin,800,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141131276383.7052,141131276383.7052,True,,7,,,,2023-09-24T00:35:00.000Z,0.06149621333895606,117771654.21547194,-13.4523,0.02797821,-0.2673481,-0.70145661,-2.26247782,-24.26380546,-7.81677163,8679039081.291506,0.8227,8679039081.29,,2023-09-24T00:35:00.000Z,,,,,,2023-09-24 03:36:49.368464,0.06149621333895606,0.02797821,-0.2673481,-0.70145661,-2.26247782,-24.26380546,-7.81677163
7,2010,Cardano,ADA,cardano,938,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35118378659.086,36198584811.424,False,,8,,,,2023-09-24T00:35:00.000Z,0.2460583842355007,67611953.59040445,-41.6125,0.01059551,0.1618877,-1.19425793,-7.15166769,-18.8139142,-15.62909158,8641171509.82519,0.8191,11072627290.6,,2023-09-24T00:35:00.000Z,,,,,,2023-09-24 03:36:49.368464,0.2460583842355007,0.01059551,0.1618877,-1.19425793,-7.15166769,-18.8139142,-15.62909158
8,5426,Solana,SOL,solana,530,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,412617418.2334606,558106678.6434239,True,,9,,,,2023-09-24T00:35:00.000Z,19.550424268509023,95187498.29100594,-43.0935,0.52325474,0.10597428,3.02963765,-6.5549256,-15.86108071,15.80871963,8066845587.040985,0.7649,10911222354.57,,2023-09-24T00:35:00.000Z,,,,,,2023-09-24 03:36:49.368464,19.550424268509023,0.52325474,0.10597428,3.02963765,-6.5549256,-15.86108071,15.80871963
9,11419,Toncoin,TON,toncoin,150,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,10,3414166606.0,7836789160.759922,,2023-09-24T00:35:00.000Z,2.2953739712021313,24431423.14386473,-34.3797,-0.2104235,-0.26189926,-5.26798102,62.61061757,61.83320507,57.24428729,7877475769.897491,0.7467,11586034463.29,,2023-09-24T00:35:00.000Z,,,,,,2023-09-24 03:36:49.368464,2.2953739712021313,-0.2104235,-0.26189926,-5.26798102,62.61061757,61.83320507,57.24428729
10,1958,TRON,TRX,tron,840,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,89131116221.95552,89131116935.40005,True,,11,71659659264.0,5995393776.399842,,2023-09-24T00:35:00.000Z,0.0836648379015078,116172843.9108208,-27.0283,0.02485296,0.25398868,0.29127564,9.08646084,2.18445652,14.34586567,7457140390.690361,0.7069,7457140450.38,,2023-09-24T00:35:00.000Z,,,,,,2023-09-24 03:36:49.368464,0.0836648379015078,0.02485296,0.25398868,0.29127564,9.08646084,2.18445652,14.34586567
11,4943,Dai,DAI,multi-collateral-dai,2608,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5347888595.7464075,5347888595.7464075,True,,12,,,,2023-09-24T00:35:00.000Z,1.0001591652498842,107362461.10824373,51.3888,0.00574102,-0.02014351,0.05142584,0.05785786,0.10366894,0.03648441,5348739793.771103,0.5072,5348739793.77,,2023-09-24T00:35:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2023-09-24 03:36:49.368464,1.0001591652498842,0.00574102,-0.02014351,0.05142584,0.05785786,0.10366894,0.03648441
12,6636,Polkadot,DOT,polkadot-new,587,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1255766661.8028378,1358821612.3689928,True,,13,,,,2023-09-24T00:35:00.000Z,4.030253497234313,59763113.17949822,-28.222,-0.0141113,-0.01984129,-3.34725815,-8.55373999,-22.03726193,-22.53333082,5061057980.441147,0.4798,5476395555.37,,2023-09-24T00:35:00.000Z,,,,,,2023-09-24 03:36:49.368464,4.030253497234313,-0.0141113,-0.01984129,-3.34725815,-8.55373999,-22.03726193,-22.53333082
13,3890,Polygon,MATIC,polygon,963,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",10000000000.0,9319469069.28493,10000000000.0,False,,14,,,,2023-09-24T00:35:00.000Z,0.5209470544550419,130368902.90438011,-21.3218,0.11204058,-0.35726203,-0.66668466,-4.36676658,-26.11537361,-21.59671883,4854949960.728854,0.4602,5209470544.55,,2023-09-24T00:35:00.000Z,,,,,,2023-09-24 03:36:49.368464,0.5209470544550419,0.11204058,-0.35726203,-0.66668466,-4.36676658,-26.11537361,-21.59671883
14,2,Litecoin,LTC,litecoin,1003,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73686114.22743528,84000000.0,False,,15,,,,2023-09-24T00:35:00.000Z,65.06700847351182,239465427.1087572,-13.2321,0.08910063,0.67245203,0.02805318,0.69764027,-27.35185458,-26.65819693,4794535018.816691,0.4545,5465628711.77,,2023-09-24T00:35:00.000Z,,,,,,2023-09-24 03:36:49.368464,65.06700847351182,0.08910063,0.67245203,0.02805318,0.69764027,-27.35185458,-26.65819693
